SMILES,xtbS1,xtbT1
CC#C[C@@H](C)O,6.857,6.849
CC(=O)CC#C,4.419,4.414
CC(=O)CC#N,4.562,4.557
NC(=O)CC#C,5.633,5.559
NC(=O)CC#N,5.788,5.611
CC(=N)NC=O,5.631,4.801
CC(=N)OC=O,5.355,5.35
CC(=O)CC=O,3.939,3.897
CC(=O)NC=N,5.417,4.919
CC(=O)NC=O,5.297,5.296
CC(=O)OC=N,5.726,5.724
NC(=O)CC=O,4.216,4.2
NC(=O)NC=N,5.97,5.133
NC(=O)NC=O,5.819,5.675
NC(=O)OC=N,6.34,5.848
CC(C)CC#C,7.593,7.592
CC(C)CC#N,8.574,8.563
C[C@@H](O)CC#C,7.149,7.137
C[C@@H](O)CC#N,7.427,7.422
CN(C)CC#N,5.454,5.425
CC(C)CC=O,4.383,4.383
CC(C)NC=O,6.146,5.782
CC(C)OC=O,6.259,6.262
C[C@@H](O)CC=O,4.252,4.25
CN(C)CC=O,4.224,4.222
CC(=O)CCO,4.319,4.317
CCCC(=O)C,4.389,4.386
CCCC(=O)N,5.676,5.514
CCNC(=O)C,5.784,5.349
CCNC(=O)N,5.808,5.531
CCOC(=O)C,5.972,5.971
CCOC(=O)N,6.189,5.911
COCC(=O)C,4.38,4.376
COCC(=O)N,5.689,5.604
NC(=O)CCO,5.579,5.557
[NH3]CCC(=O)[O],5.806,5.804
CC(C)CCO,7.404,7.391
C[C@@H](O)CCO,7.275,7.259
CCCC(C)C,8.676,8.665
CCC[C@@H](C)O,7.552,7.548
CCOC(C)C,6.744,6.739
COCC(C)C,6.665,6.664
COC[C@@H](C)O,6.622,6.621
CC(=O)C(=O)C,2.13,2.129
CC(=O)C(=O)N,2.841,2.84
NC(=[NH2])C(=O)[O],4.084,4.084
NC(=O)C(=O)N,3.795,3.795
CC(C)C(=O)C,4.49,4.486
CC(C)C(=O)N,5.832,5.787
C[C@@H](O)C(=O)C,4.084,4.078
C[C@@H](O)C(=O)N,5.369,5.361
CN(C)C(=O)C,5.704,5.08
CN(C)C(=O)N,5.293,5.28
CC(C)C(C)C,8.587,8.574
CC(C)[C@@H](C)O,7.547,7.542
C[C@@H](O)[C@@H](C)O,7.238,7.236
CC1(C)CCC1,8.078,8.076
CC1(C)CCO1,6.851,6.851
CC1(C)COC1,6.957,6.954
CC1(O)CCC1,7.158,7.157
CC1(O)COC1,6.908,6.906
CC1(C)C[C@H]1O,6.25,6.248
C[C@@]1(O)C[C@H]1O,5.698,5.696
C[C@H]1CC1(C)C,7.171,7.17
C[C@H]1C[C@]1(C)O,6.108,6.107
C[C@H]1OC1(C)C,7.164,7.156
CN1CC1(C)C,6.122,6.093
C[C@H]1CC(=N)O1,5.967,5.9
CC1CC(=O)C1,4.151,4.142
C[C@H]1CC(=O)N1,6.011,5.513
C[C@H]1CC(=O)O1,5.865,5.861
CN1CC(=O)C1,4.159,4.149
OC1CC(=O)C1,4.204,4.195
C[C@H]1C[C@@H](C)C1,8.107,8.101
C[C@H]1C[C@@H](C)O1,6.839,6.826
C[C@H]1C[C@@H](O)C1,7.164,7.164
CN1CC(O)C1,5.627,5.604
O[C@H]1C[C@@H](O)C1,6.966,6.961
C[C@@]12C[C@@H](C1)C2,7.953,7.948
C[C@@]12C[C@@H](C1)O2,6.356,6.351
C[C@@]12C[N@@](C1)C2,6.805,6.798
O[C@@]12C[C@@H](C1)C2,7.023,7.021
O[C@@]12C[N@@](C1)C2,7.141,7.139
O=C(C#C)C#C,4.237,4.237
O=C(C#C)C#N,4.046,4.046
O=C(C#N)C#N,3.805,3.805
O=CC(=O)C#C,2.129,2.129
O=CC(=O)C#N,1.976,1.976
CC(C#C)C#C,7.358,7.328
C[C@@H](C#C)C#N,7.325,7.301
CC(C#N)C#N,8.774,8.75
N[C@@H](C#C)C#N,6.268,6.261
NC(C#N)C#N,6.055,6.045
OC(C#C)C#C,7.071,7.043
O[C@@H](C#C)C#N,6.981,6.958
OC(C#N)C#N,7.078,7.056
C[C@@H](C=O)C#C,4.427,4.423
C[C@@H](C=O)C#N,4.535,4.532
O[C@@H](C=O)C#C,4.443,4.43
O[C@@H](C=O)C#N,4.599,4.595
CC(C=O)C=O,4.041,4.026
CN(C=N)C=O,5.707,4.736
CN(C=O)C=O,5.387,5.136
OC(C=O)C=O,3.892,3.85
C[N]C(=[NH2])C#N,5.22,3.849
C[N]C(=[NH2])C=O,3.577,2.625
CCC(=O)C#C,4.242,4.24
CCC(=O)C#N,3.997,3.995
CNC(=N)C#N,5.003,3.645
CNC(=O)C#C,5.589,4.931
COC(=O)C#C,5.791,5.791
COC(=O)C#N,5.613,5.613
OCC(=O)C#C,4.202,4.199
OCC(=O)C#N,3.975,3.973
CCC(=O)C=O,2.128,2.128
CNC(=N)C=O,3.339,2.43
CNC(=O)C=O,2.891,2.891
COC(=O)C=O,3.072,3.072
OCC(=O)C=O,2.105,2.104
CCC(=O)CC,4.466,4.463
CCC(=O)CO,4.606,4.602
CCC(=O)NC,5.887,5.353
CCC(=O)OC,6.057,6.053
CNC(=O)CO,6.034,5.393
CNC(=O)NC,5.282,5.278
CNC(=O)OC,5.972,5.808
COC(=O)CN,5.926,5.894
COC(=O)CO,6.135,6.137
OCC(=O)CO,4.513,4.508
CO/C(=N/C)/C,5.985,5.662
C[C@@H](CO)C#C,7.258,7.252
C[C@@H](CO)C#N,7.137,7.127
CC[C@@H](C)C#C,7.612,7.584
CC[C@@H](C)C#N,8.751,8.737
CC[C@@H](N)C#N,6.446,6.436
CC[C@@H](O)C#C,7.523,7.509
CC[C@@H](O)C#N,7.62,7.609
CN[C@@H](C)C#N,5.92,5.908
CO[C@@H](C)C#C,6.954,6.947
CO[C@@H](C)C#N,6.844,6.834
N[C@@H](CO)C#N,6.125,6.121
NC[C@@H](N)C#N,5.942,5.928
NC[C@@H](O)C#N,6.312,6.306
OC[C@@H](O)C#C,6.891,6.888
OC[C@@H](O)C#N,6.782,6.781
C[C@@H](CO)C=O,4.419,4.418
CC[C@@H](C)C=O,4.421,4.419
CC[C@@H](O)C=O,4.482,4.485
CCN(C)C=O,5.817,5.516
CO[C@@H](C)C=O,4.358,4.356
OC[C@@H](O)C=O,4.465,4.463
CC(CO)CO,7.126,7.108
CCC(C)CC,8.677,8.666
CC[C@@H](C)CO,7.35,7.335
CC[C@@H](C)OC,6.71,6.705
CCC(O)CC,7.466,7.46
CC[C@@H](O)CO,7.011,7.004
CO[C@@H](C)CO,6.817,6.813
OCC(O)CO,6.941,6.937
CC1(CC1)C#C,6.839,6.838
CC1(CC1)C#N,7.418,7.417
C[C@]1(CN1)C#C,6.629,6.62
C[C@]1(CN1)C#N,6.755,6.749
C[C@]1(CO1)C#C,7.128,7.124
C[C@]1(CO1)C#N,7.175,7.174
NC1(CC1)C#N,5.858,5.852
OC1(CC1)C#C,6.041,6.041
OC1(CC1)C#N,6.211,6.21
CC1(CC1)C=O,4.503,4.498
C[C@]1(CN1)C=O,4.283,4.282
C[C@]1(CO1)C=O,4.319,4.318
OC1(CC1)C=O,4.54,4.53
CC1(CO)CC1,7.348,7.344
C[C@@]1(CO)CN1,6.541,6.529
C[C@@]1(CO)CO1,6.948,6.947
CCC1(C)CC1,7.308,7.306
CC[C@@]1(C)CO1,7.092,7.091
CCC1(O)CC1,6.715,6.712
COC1(C)CC1,6.715,6.712
OCC1(O)CC1,6.575,6.572
C[C@H]1CCC1=O,4.166,4.157
C[C@H]1CNC1=O,5.88,5.597
C[C@H]1COC1=N,6.17,5.976
C[C@H]1COC1=O,5.886,5.882
C[C@H]1NCC1=O,4.144,4.135
C[C@H]1OCC1=O,4.202,4.19
CN1CCC1=O,5.706,5.245
N[C@H]1COC1=N,5.918,5.93
N[C@H]1COC1=O,5.722,5.722
O[C@H]1CCC1=O,4.16,4.15
O[C@H]1CNC1=O,5.748,5.496
O[C@H]1COC1=N,5.839,5.818
O[C@H]1COC1=O,5.836,5.831
C[C@H]1CC[C@H]1C,7.975,7.97
C[C@H]1CC[C@H]1O,7.011,7.008
C[C@H]1CO[C@H]1C,6.78,6.773
C[C@H]1OC[C@H]1O,6.806,6.801
O[C@H]1CC[C@H]1O,6.574,6.57
N=C1CN=CN1,5.214,4.08
O=C1CC=CC1,4.302,4.299
O=C1CC=CN1,4.551,3.539
O=C1CN=CN1,5.136,4.585
O=C1CN=CO1,5.503,5.494
N=C1OCC=C1,5.403,4.023
O=C1CCC=C1,3.644,3.643
O=C1NCC=C1,4.724,4.087
N=C1CCCO1,5.983,5.728
N=C1COCO1,5.892,5.819
N=C1OCCO1,6.644,5.732
O=C1CCCC1,4.315,4.311
O=C1CCCN1,5.503,5.301
O=C1CCCO1,5.929,5.929
O=C1CCOC1,4.269,4.261
O=C1COCO1,5.916,5.914
O=C1NCCN1,5.324,5.316
O=C1NCCO1,5.638,5.636
O=C1OCCO1,7.421,7.419
CC1=CCCC1,5.934,5.032
CC1=CCOC1,5.825,4.873
CC1=NCCO1,6.311,5.44
C[C@H]1CC=CC1,6.272,5.223
C[C@H]1CN=CO1,6.448,5.749
O[C@H]1CC=CC1,6.216,5.273
C[C@H]1CCC=C1,5.743,5.247
C[C@H]1COC=N1,6.028,5.746
C[C@H]1OCC=C1,5.695,5.038
O[C@H]1CCC=C1,5.812,5.236
CC1CCCC1,8.473,8.468
C[C@H]1CCCO1,6.62,6.613
C[C@H]1CCOC1,6.712,6.706
C[C@H]1COCO1,6.497,6.487
CC1OCCO1,6.651,6.647
OC1CCCC1,7.085,7.076
O[C@H]1CCOC1,6.722,6.717
C[C@H]1[C@@H](C)[C@H]1C,7.144,7.143
C[C@H]1[C@@H](C)[C@H]1O,6.024,6.024
C[C@H]1[C@@H](C)N1C,6.178,6.139
C[C@H]1[C@@H](O)[C@H]1O,5.984,5.98
C[C@]12C[C@H]1CC2,6.523,6.52
C[C@]12C[C@H]1CO2,5.96,5.958
C[C@]12C[C@H]1OC2,5.997,5.992
C[C@]12CC[C@H]1O2,6.313,6.302
O[C@]12C[C@H]1CC2,6.472,6.468
O[C@]12C[C@H]1OC2,5.938,5.927
C#CC#CC#C,4.899,4.9
C#CC#CC#N,5.119,5.12
C(#CC#N)C#N,5.736,5.739
C#CCCC#C,7.259,7.251
C#CCCC#N,7.164,7.164
N#CCCC#N,8.702,8.702
O=CC#CC#C,4.011,4.011
O=CC#CC#N,3.899,3.899
O=CC#CC=O,3.981,3.982
N=COCC#C,6.325,6.174
N=COCC#N,6.338,6.249
O=CCCC#C,4.4,4.399
O=CCCC#N,4.448,4.447
O=CNCC#C,6.101,5.838
O=CNCC#N,6.059,5.889
O=COCC#C,6.292,6.292
O=COCC#N,6.331,6.329
N=COCC=O,4.391,4.389
O=CCCC=O,4.406,4.404
O=CCNC=O,4.533,4.532
O=CCOC=O,4.375,4.372
CC#CC#CC,5.887,5.886
CC#CCC#C,6.764,6.763
CC#CCC#N,6.562,6.562
CC#CCC=O,4.346,4.343
C/N=C/NC=O,5.57,4.87
C/N=C/OC=O,5.454,5.45
CCC#CC#C,5.939,5.946
CCC#CC#N,6.393,6.384
OCC#CC#C,5.923,5.923
OCC#CC#N,6.421,6.323
CCC#CC=O,4.101,4.101
OCC#CC=O,4.11,4.109
CCC#CCC,6.811,6.81
CCC#CCO,6.742,6.737
OCC#CCO,6.529,6.526
CC/N=C/OC,6.202,5.936
CC#CCCO,6.714,6.705
CCCC#CC,6.864,6.86
COCC#CC,6.465,6.465
CCO/C=N/C,6.221,5.963
CCCCC#C,7.617,7.616
CCCCC#N,8.537,8.533
CCNCC#N,5.616,5.6
CCOCC#C,6.537,6.536
CCOCC#N,6.45,6.449
COCCC#C,6.644,6.643
COCCC#N,6.549,6.548
OCCCC#C,7.005,7.0
OCCCC#N,6.866,6.862
CCCCC=O,4.388,4.387
CCCNC=O,5.909,5.76
CCCOC=O,6.234,6.235
CCOCC=O,4.332,4.329
COCCC=O,4.425,4.424
OCCCC=O,4.393,4.393
OCCNC=O,5.846,5.713
OCCOC=N,6.549,6.062
OCCOC=O,6.221,6.221
CCCCCC,8.704,8.7
CCCCCO,7.408,7.395
CCCCOC,6.591,6.59
CCCOCC,6.679,6.679
CCOCCO,6.61,6.61
COCCCO,6.571,6.57
COCCOC,6.682,6.682
OCCCCO,7.052,7.046
C#CC1CCC1,7.378,7.364
C#C[C@H]1CCO1,6.755,6.751
C#CC1COC1,6.624,6.623
N#CC1CCC1,8.104,8.102
N#C[C@H]1CCN1,5.948,5.942
N#C[C@H]1CCO1,6.687,6.679
N#CC1COC1,6.433,6.431
O=CC1CCC1,4.452,4.45
O=C[C@H]1CCO1,4.239,4.234
O=CC1COC1,4.463,4.463
O=CN1CCC1,5.753,5.641
C/N=C\1/CCO1,6.246,5.874
CCC1CCC1,8.138,8.133
CC[C@H]1CCO1,6.758,6.754
CCC1COC1,6.809,6.805
COC1CCC1,6.615,6.61
COC1COC1,6.566,6.56
OCC1CCC1,7.026,7.02
OC[C@H]1CCO1,6.765,6.761
OCC1COC1,6.748,6.745
C#CCC1CC1,7.41,7.407
C#CC[C@H]1CO1,6.804,6.799
C#CCN1CC1,6.192,6.167
N#CCC1CC1,7.39,7.385
N#CC[C@H]1CN1,6.415,6.405
N#CC[C@H]1CO1,6.753,6.747
N#CCN1CC1,6.173,6.145
N=COC1CC1,5.722,5.733
O=CCC1CC1,4.345,4.345
O=CC[C@H]1CN1,4.393,4.393
O=CC[C@H]1CO1,4.407,4.406
O=CCN1CC1,4.291,4.29
O=CNC1CC1,5.995,5.647
O=COC1CC1,6.279,6.279
CC#CC1CC1,6.409,6.407
CC#C[C@H]1CN1,6.238,6.23
CC#C[C@H]1CO1,6.574,6.562
CCCC1CC1,7.552,7.549
CCC[C@H]1CO1,6.792,6.788
CCCN1CC1,6.156,6.133
CCOC1CC1,6.482,6.477
COCC1CC1,6.644,6.643
COC[C@H]1CN1,6.471,6.468
COC[C@H]1CO1,6.701,6.7
OCCC1CC1,7.067,7.059
OCC[C@H]1CO1,6.827,6.823
OCCN1CC1,6.181,6.156
C[C@H]1C[C@H]1C#C,6.706,6.706
C[C@H]1C[C@H]1C#N,7.339,7.339
C[C@H]1N[C@H]1C#C,6.374,6.368
C[C@H]1N[C@H]1C#N,6.537,6.528
C[C@H]1O[C@H]1C#C,6.81,6.8
C[C@H]1O[C@H]1C#N,6.889,6.872
CN1C[C@H]1C#C,6.209,6.18
CN1C[C@H]1C#N,6.209,6.178
O[C@H]1C[C@H]1C#C,6.463,6.459
O[C@H]1C[C@H]1C#N,6.813,6.808
C[C@H]1C[C@H]1C=O,4.504,4.504
C[C@H]1CN1C=O,5.328,5.157
C[C@H]1N[C@H]1C=O,4.132,4.137
C[C@H]1O[C@H]1C=O,4.324,4.322
CN1C[C@H]1C=O,4.323,4.319
O[C@H]1C[C@H]1C=O,4.518,4.519
C[C@H]1C[C@H]1CO,7.279,7.274
C[C@H]1N[C@H]1CO,6.522,6.517
C[C@H]1O[C@H]1CO,6.822,6.805
CC[C@H]1C[C@H]1C,7.323,7.321
CC[C@H]1C[C@H]1O,6.226,6.225
CC[C@H]1CN1C,6.299,6.264
CC[C@H]1O[C@H]1C,6.957,6.938
CCN1C[C@H]1C,6.15,6.119
CN1C[C@H]1CO,6.274,6.241
CO[C@H]1C[C@H]1C,6.33,6.327
CO[C@H]1C[C@H]1O,5.712,5.71
OC[C@H]1C[C@H]1O,6.236,6.234
CC(=O)C1CC1,4.587,4.58
CC(=O)[C@H]1CN1,4.454,4.457
CC(=O)[C@H]1CO1,4.355,4.351
CC(=O)N1CC1,5.023,4.851
NC(=O)C1CC1,5.849,5.684
NC(=O)[C@H]1CN1,5.801,5.686
NC(=O)[C@H]1CO1,5.652,5.603
NC(=O)N1CC1,5.703,5.61
CC(C)C1CC1,7.606,7.604
CC(C)[C@H]1CO1,6.936,6.93
CC(C)N1CC1,6.083,6.059
C[C@@H](O)C1CC1,7.497,7.495
C[C@@H](O)[C@H]1CN1,6.542,6.519
C[C@@H](O)[C@H]1CO1,6.914,6.905
C1CC21CCC2,7.294,7.293
C1CC21CCO2,6.129,6.128
C1CC21COC2,6.728,6.729
C1NC21COC2,6.469,6.458
C1OC21CCC2,6.895,6.895
C1OC21COC2,6.889,6.888
C1[C@H]2C[C@@H]1C=C2,5.785,4.682
C1[C@H]2O[C@@H]1C=C2,6.155,4.812
C1[C@H]2C[C@@H]1CC2,8.041,8.035
C1[C@H]2C[C@@H]1OC2,6.265,6.264
C1[C@H]2CC[C@@H]1O2,6.55,6.548
C[C@H]1[C@H]2C[C@@H]1C2,8.042,8.036
C[C@H]1[C@H]2C[C@@H]1O2,6.42,6.414
O[C@H]1[C@H]2C[C@@H]1C2,6.964,6.959
O[C@H]1[C@H]2C[C@@H]1O2,6.143,6.14
C1CC=CCO1,5.701,5.284
C1CCC=CC1,5.692,5.291
C1COC=NC1,5.988,5.937
C1CCCCC1,8.365,8.359
C1CCOCC1,6.621,6.608
C1COCCO1,5.938,5.929
C1COCOC1,6.767,6.751
C1C[C@H]2CC[C@@H]12,7.31,7.309
C1C[C@H]2OC[C@@H]12,6.5,6.498
C1O[C@H]2CO[C@@H]12,6.435,6.433
C[C@H]1[C@H]2CC[C@@H]12,6.639,6.637
C[C@H]1[C@H]2CO[C@@H]12,5.9,5.899
O[C@H]1[C@H]2CC[C@@H]12,6.449,6.446
O[C@H]1[C@H]2CO[C@@H]12,5.798,5.795
C1[C@H]2CC=C[C@@H]12,5.737,4.867
C1[C@H]2OC=N[C@@H]12,5.641,5.381
C1C=C[C@H]2N[C@@H]12,5.915,4.805
C1C=C[C@H]2O[C@@H]12,6.173,4.954
C1[C@H]2CCC[C@@H]12,7.034,7.031
C1[C@H]2CCO[C@@H]12,5.808,5.806
C1[C@H]2COC[C@@H]12,6.576,6.569
C1[C@H]2OCO[C@@H]12,5.406,5.401
C1C[C@H]2O[C@H]2C1,6.616,6.605
C1OC[C@H]2N[C@@H]12,6.259,6.254
C1OC[C@H]2O[C@@H]12,6.235,6.228
N=C1O[C@H]2C[C@@H]12,5.837,5.772
O=C1C[C@H]2C[C@@H]12,4.482,4.472
O=C1C[C@H]2CN12,4.54,4.519
O=C1C[C@H]2N[C@@H]12,4.388,4.374
O=C1C[C@H]2O[C@@H]12,4.163,4.156
O=C1C[N@]2C[C@@H]12,4.271,4.243
O=C1N[C@H]2C[C@@H]12,5.045,4.713
O=C1O[C@H]2C[C@@H]12,5.959,5.955
C[C@H]1C[C@H]2C[C@@H]12,6.661,6.659
C[C@H]1C[C@H]2O[C@@H]12,6.251,6.244
C[C@H]1O[C@H]2C[C@@H]12,5.987,5.983
O[C@H]1C[C@H]2C[C@@H]12,6.58,6.578
O[C@H]1C[C@H]2N[C@@H]12,6.621,6.618
O[C@H]1C[C@H]2O[C@@H]12,6.188,6.181
O[C@H]1C[N@]2C[C@@H]12,6.391,6.382
C1[C@H]2[C@@H]3C[C@H]2[C@H]13,7.64,7.633
C1[C@H]2[C@@H]3C[N@]2[C@H]13,6.634,6.628
C1[C@H]2[C@@H]3O[C@H]2[C@H]13,6.129,6.12
N1[C@H]2[C@@H]3N[C@H]2[C@H]13,6.166,6.154
N1[C@H]2[C@@H]3O[C@H]2[C@H]13,6.244,6.233
O1[C@H]2[C@@H]3O[C@H]2[C@H]13,6.257,6.243
C1CC1C1CC1,7.015,7.014
C1CC1[C@H]1CO1,6.832,6.824
C1CC1N1CC1,6.191,6.167
C1N[C@H]1[C@H]1CO1,6.509,6.503
C1O[C@H]1[C@H]1CO1,6.485,6.475
C1[C@H]2[C@@H]1[C@H]1C[C@@H]21,5.239,5.238
C1[C@H]2[C@@H]1[C@H]1N[C@@H]21,5.536,5.535
C1[C@H]2[C@@H]1[C@H]1O[C@@H]21,5.603,5.598
C1[C@H]2[C@@H]1[N@]1C[C@@H]21,5.548,5.546
N1[C@H]2[C@@H]1[C@H]1N[C@@H]21,5.866,5.863
N1[C@H]2[C@@H]1[C@H]1O[C@@H]21,5.82,5.814
